AS58475;UNLAM-AS-ID Universitas Lambung Mangkurat; 0.00 ; f:'0.00%'} ; 0.00
AS132663;INDOMEDIANET-AS-ID PT Indonesia Media Komunikasi Masyarakat; 0.00 ; f:'0.00%'} ; 0.00
AS38772;SMARTLINKNET-AS-ID PT. Smartlink Global Media.; 0.00 ; f:'0.00%'} ; 0.00
AS45312;MLD-ID PT MEDIA LINTAS DATA; 0.00 ; f:'0.00%'} ; 0.00
AS58482;PALAPAMEDIA-AS-ID PT. Palapa Media Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS46039;BAPEPAM-LK-AS-ID Badan Pengawas Pasar Modal dan Lembaga Keuangan; 0.00 ; f:'0.00%'} ; 0.00
AS46034;DEPKES-AS-ID Departemen Kesehatan; 0.00 ; f:'0.00%'} ; 0.00
AS131740;SMARTMEDIA-AS-ID PT Smart Media Pratama; 0.00 ; f:'0.00%'} ; 0.00
AS45703;BKPM-AS-ID Badan Koordinasi Penanaman Modal (BKPM); 0.00 ; f:'0.00%'} ; 0.00
AS135449;; 0.00 ; f:'0.00%'} ; 0.00
AS133166;PERTAMINA-AS-ID PT Pertamina (Persero); 0.00 ; f:'0.00%'} ; 0.00
AS45732;DEPKEU-AS-ID Pusat Sistem Informasi dan Teknologi Keuangan ( Pusintek ); 0.00 ; f:'0.00%'} ; 0.00
AS23671;JMN-AS-ID Jogja Medianet; 0.00 ; f:'0.00%'} ; 0.00
AS56233;ATSINDO-AS-ID PT Asia Teknologi Solusi; 0.00 ; f:'0.00%'} ; 0.00
AS133364;IDNIC-PNJ-AS-ID Politeknik Negeri Jakarta; 0.00 ; f:'0.00%'} ; 0.00
AS46018;DEPPERIN-AS-ID Departemen Perindustrian Republik Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS46017;BAKOSURTANAL-AS-ID Badan Koordinasi Survei dan Pemetaan Nasional (BAKOSURTANAL); 0.00 ; f:'0.00%'} ; 0.00
AS38500;CROSSNET-AS-ID PT. Cross Network Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS58823;IDNIC-LIB-AS-ID CV. Lintas Informatika Buana; 0.00 ; f:'0.00%'} ; 0.00
AS131724;IDNIC-DINHUBKOMINFO-JATENG-AS-ID DINHUBKOMINFO PEMPROV. JAWA TENGAH; 0.00 ; f:'0.00%'} ; 0.00
AS45325;PC24-AS-ID PC24 Cyber Indonesia ; PT; 0.00 ; f:'0.00%'}
AS17725;PHEONWJ-AS-ID Pertamina Hulu Energi ONWJ; 0.00 ; f:'0.00%'} ; 0.00
AS55691;UMN-AS-ID Universitas Multimedia Nusantara; 0.00 ; f:'0.00%'} ; 0.00
AS18153;MULTIDATA-ID-AP PT Multidata Rancana Prima; 0.00 ; f:'0.00%'} ; 0.00
AS56248;INDAHKIATPP-AS-ID PT INDAH KIAT PULP  PAPER Tbk; 0.00 ; f:'0.00%'} ; 0.00
AS131763;IDNIC-TADULAKO-AS-ID Universitas Tadulako; 0.00 ; f:'0.00%'} ; 0.00
AS131717;IDNIC-CIFO-AS-ID PT Citra Jelajah Informatika; 0.00 ; f:'0.00%'} ; 0.00
AS38144;JALAWAVE-AS-ID PT Jalawave Cakrawala; 0.00 ; f:'0.00%'} ; 0.00
AS38145;PANCA-AS-ID PT. Panca Dewata Utama; 0.00 ; f:'0.00%'} ; 0.00
AS24200;CAKRAMEDIA-AS-ID PT. Cakramedia Indocyber; 0.00 ; f:'0.00%'} ; 0.00
AS46026;BBT-AS-ID BATAM BINTAN TELEKOMUNIKASI ; PT; 0.00 ; f:'0.00%'}
AS133797;ACSATA-AS-ID PT Rekajasa Akses; 0.00 ; f:'0.00%'} ; 0.00
